Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,vehicle_price_midpoint,coverage_multiplier,severity_proxy,severity_bucket,days_policy_accident_numeric,days_policy_claim_numeric,quick_claim_flag,filing_delay_flag,past_claims_numeric,repeat_offender_flag,address_change_numeric,recent_address_change_flag,no_evidence_flag,evidence_score,vehicle_age_numeric,high_value_vehicle_flag,policyholder_age_numeric,young_driver_flag,suspicion_score,fault_x_basepolicy,make_fraud_rate,month_numeric,weekday_numeric,FraudFound_P,curation_category
Aug,1,Thursday,Chevrolet,Urban,Monday,Aug,3,Male,Single,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,6043,7,400,4,more than 30,more than 30,1,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,Liability,34500,0.4,13800,Low,4,4,0,1,1,0,0,0,0,1,7,0,5,0,0,Policy Holder_Liability,0.055919096,8,3,0,correct
Dec,2,Wednesday,Ford,Urban,Tuesday,Dec,4,Female,Single,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1286,16,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,Liability,34500,0.4,13800,Low,4,4,0,1,2,0,0,0,0,1,6,0,5,0,0,Policy Holder_Liability,0.073333333,12,2,0,correct
Oct,1,Sunday,Pontiac,Rural,Monday,Oct,1,Male,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,3333,3,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision,24500,0.7,17150,Medium,4,4,0,1,2,0,0,0,0,1,7,0,4,0,0,Third Party_Collision,0.055512119,10,6,0,correct
Oct,2,Sunday,Honda,Rural,Thursday,Oct,2,Male,Married,54,Third Party,Sedan - All Perils,Sedan,20000 to 29000,6726,16,400,1,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1995,All Perils,24500,1.0,24500,Medium,4,4,0,1,0,0,0,0,0,1,8,0,6,0,0,Third Party_All Perils,0.063905748,10,6,0,correct
Feb,1,Wednesday,Accura,Urban,Monday,Feb,2,Male,Married,79,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1003,7,400,4,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,34500,0.4,13800,Low,4,4,0,1,3,1,0,0,1,0,8,0,8,0,2,Policy Holder_Liability,0.125,2,2,1,fraud
Dec,2,Saturday,Accura,Urban,Thursday,Dec,3,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8007,4,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1995,Collision,24500,0.7,17150,Medium,4,4,0,1,2,0,0,0,0,1,7,0,5,0,0,Policy Holder_Collision,0.125,12,5,0,correct
Apr,2,Wednesday,Pontiac,Urban,Monday,Apr,4,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1126,1,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision,24500,0.7,17150,Medium,4,4,0,1,2,0,0,0,0,1,8,0,5,0,0,Policy Holder_Collision,0.055512119,4,2,0,correct
Dec,2,Wednesday,Pontiac,Urban,Friday,Dec,3,Female,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,1270,5,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision,24500,0.7,17150,Medium,4,4,0,1,0,0,0,0,0,1,6,0,4,0,0,Third Party_Collision,0.055512119,12,2,0,correct
Jun,5,Thursday,Chevrolet,Urban,Monday,Jul,2,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,4130,9,400,3,more than 30,more than 30,none,more than 7,51 to 65,Yes,No,External,none,no change,1 vehicle,1994,All Perils,24500,1.0,24500,Medium,4,4,0,1,0,0,0,0,0,1,8,0,7,0,0,Policy Holder_All Perils,0.055919096,6,3,0,correct
Nov,1,Friday,Ford,Urban,Thursday,Nov,2,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2177,1,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Liability,34500,0.4,13800,Low,4,4,0,1,2,0,0,0,0,1,7,0,4,0,0,Policy Holder_Liability,0.073333333,11,4,0,correct
Apr,4,Thursday,Mazda,Rural,Friday,May,1,Male,Married,66,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,6019,15,500,2,more than 30,more than 30,1,more than 7,over 65,Yes,No,External,none,no change,1 vehicle,1994,Collision,34500,0.7,24150,Medium,4,4,0,1,1,0,0,0,0,1,8,0,8,0,0,Policy Holder_Collision,0.052251487,4,3,0,correct
Mar,4,Sunday,Accura,Urban,Wednesday,Mar,5,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,11087,9,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,34500,0.7,24150,Medium,4,4,0,1,3,1,0,0,1,0,8,0,6,0,2,Policy Holder_Collision,0.125,3,6,1,fraud
Jun,2,Friday,Ford,Urban,Friday,Jun,2,Male,Married,48,Third Party,Sedan - All Perils,Sedan,30000 to 39000,9504,16,400,1,more than 30,more than 30,1,more than 7,41 to 50,Yes,Yes,External,more than 5,no change,1 vehicle,1995,All Perils,34500,1.0,34500,High,4,4,0,1,1,0,0,0,0,2,8,0,6,0,0,Third Party_All Perils,0.073333333,6,4,0,correct
Dec,4,Saturday,Honda,Urban,Wednesday,Dec,5,Male,Single,30,Policy Holder,Sport - Collision,Sport,more than 69000,9,7,400,4,more than 30,more than 30,none,6 years,31 to 35,No,Yes,External,3 to 5,no change,1 vehicle,1994,Collision,80000,0.7,56000,High,4,4,0,1,0,0,0,0,0,1,6,1,4,0,0,Policy Holder_Collision,0.063905748,12,5,0,correct
Oct,5,Friday,Pontiac,Urban,Monday,Oct,5,Male,Married,55,Third Party,Utility - All Perils,Utility,more than 69000,687,3,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,2,0,0,0,0,1,8,1,6,0,0,Third Party_All Perils,0.055512119,10,4,0,correct
Jul,3,Monday,Chevrolet,Urban,Tuesday,Jul,4,Female,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,1470,10,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision,24500,0.7,17150,Medium,4,4,0,1,0,0,0,0,0,1,6,0,4,0,0,Third Party_Collision,0.055919096,7,0,0,correct
Jul,2,Friday,Honda,Rural,Monday,Jul,2,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,13373,15,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,3 to 5,no change,1 vehicle,1996,Collision,24500,0.7,17150,Medium,4,4,0,1,2,0,0,0,0,1,8,0,6,0,0,Third Party_Collision,0.063905748,7,4,0,correct
May,3,Sunday,Accura,Urban,Friday,May,4,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,28,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,34500,1.0,34500,High,4,4,0,1,2,0,0,0,1,0,7,0,5,0,1,Policy Holder_All Perils,0.125,5,6,0,escalate
May,1,Sunday,Chevrolet,Rural,Tuesday,May,1,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,10652,11,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1995,All Perils,34500,1.0,34500,High,4,4,0,1,2,0,0,0,0,1,7,0,5,0,0,Policy Holder_All Perils,0.055919096,5,6,0,correct
Mar,1,Wednesday,Pontiac,Rural,Thursday,Mar,1,Female,Single,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,237,3,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,Yes,External,more than 5,no change,1 vehicle,1994,Collision,24500,0.7,17150,Medium,4,4,0,1,2,0,0,0,0,1,7,0,5,0,0,Policy Holder_Collision,0.055512119,3,2,0,correct
Sep,2,Saturday,Chevrolet,Urban,Friday,Sep,3,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,more than 69000,3159,6,400,1,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,0,0,0,0,0,1,6,1,4,0,0,Policy Holder_All Perils,0.055919096,9,5,0,correct
Jun,2,Wednesday,Honda,Urban,Friday,Jun,2,Male,Single,34,Policy Holder,Sedan - Liability,Sport,more than 69000,5169,1,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability,80000,0.4,32000,High,4,4,0,1,2,0,0,0,0,1,6,1,4,0,0,Policy Holder_Liability,0.063905748,6,2,0,correct
Jan,1,Wednesday,Accura,Urban,Monday,Jan,3,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,more than 69000,406,7,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,3,1,0,0,1,0,8,1,6,0,2,Policy Holder_All Perils,0.125,1,2,1,fraud
Oct,4,Saturday,Ford,Urban,Monday,Nov,4,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11011,1,400,4,more than 30,more than 30,none,7 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1995,Collision,24500,0.7,17150,Medium,4,4,0,1,0,0,0,0,0,1,7,0,4,0,0,Policy Holder_Collision,0.073333333,10,5,0,correct
May,4,Tuesday,Accura,Urban,Tuesday,May,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,40000 to 59000,3940,8,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,49500,0.4,19800,Medium,4,4,0,1,2,0,0,0,1,0,7,0,5,0,1,Policy Holder_Liability,0.125,5,1,1,escalate
Mar,3,Saturday,Accura,Urban,Monday,Mar,3,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10721,10,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,3 to 5,no change,1 vehicle,1995,Collision,34500,0.7,24150,Medium,4,4,0,1,2,0,0,0,0,1,6,0,4,0,0,Policy Holder_Collision,0.125,3,5,0,correct
Jul,2,Saturday,Pontiac,Rural,Monday,Jul,2,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1426,2,400,1,more than 30,more than 30,1,more than 7,51 to 65,Yes,No,External,none,no change,1 vehicle,1994,All Perils,15000,1.0,15000,Low,4,4,0,1,1,0,0,0,0,1,8,0,7,0,0,Policy Holder_All Perils,0.055512119,7,5,0,correct
Sep,2,Tuesday,Mercury,Urban,Friday,Sep,3,Male,Married,63,Policy Holder,Utility - All Perils,Utility,more than 69000,4903,10,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,2,0,0,0,0,1,8,1,7,0,0,Policy Holder_All Perils,0.072289157,9,1,0,correct
Apr,1,Sunday,Honda,Urban,Monday,Apr,1,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2031,8,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,All Perils,15000,1.0,15000,Low,4,4,0,1,2,0,0,0,0,1,6,0,4,0,0,Policy Holder_All Perils,0.063905748,4,6,0,correct
Oct,4,Tuesday,Chevrolet,Urban,Wednesday,Oct,4,Male,Single,49,Third Party,Sedan - Collision,Sedan,30000 to 39000,1830,6,700,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision,34500,0.7,24150,Medium,4,4,0,1,0,0,0,0,0,1,8,0,6,0,0,Third Party_Collision,0.055919096,10,1,0,correct
Nov,2,Friday,Honda,Urban,Wednesday,Nov,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,10369,12,400,2,more than 30,more than 30,2 to 4,new,16 to 17,Yes,No,External,none,no change,1 vehicle,1995,Liability,80000,0.4,32000,High,4,4,0,1,2,0,0,0,0,1,0,1,0,1,0,Policy Holder_Liability,0.063905748,11,4,0,correct
Aug,3,Friday,Honda,Rural,Thursday,Aug,4,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10887,7,400,1,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1995,All Perils,24500,1.0,24500,Medium,4,4,0,1,0,0,0,0,0,1,7,0,5,0,0,Policy Holder_All Perils,0.063905748,8,4,0,correct
Nov,5,Thursday,Accura,Urban,Tuesday,Dec,1,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,7820,2,400,4,more than 30,more than 30,2 to 4,6 years,41 to 50,Yes,No,External,1 to 2,no change,1 vehicle,1995,Liability,34500,0.4,13800,Low,4,4,0,1,2,0,0,0,0,1,6,0,6,0,0,Policy Holder_Liability,0.125,11,3,0,correct
Dec,2,Friday,Chevrolet,Urban,Friday,Jan,2,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,more than 69000,161,12,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,0,0,0,0,1,0,6,1,4,0,1,Policy Holder_All Perils,0.055919096,12,4,1,escalate
Jul,5,Friday,Ford,Urban,Monday,Aug,3,Male,Married,71,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,6046,6,700,3,more than 30,more than 30,none,more than 7,over 65,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision,49500,0.7,34650,High,4,4,0,1,0,0,0,0,0,1,8,0,8,0,0,Policy Holder_Collision,0.073333333,7,4,0,correct
Dec,3,Monday,Chevrolet,Urban,Monday,Dec,3,Male,Married,50,Policy Holder,Sedan - Liability,Sport,40000 to 59000,8130,16,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1995,Liability,49500,0.4,19800,Medium,4,4,0,1,2,0,0,0,0,1,8,0,6,0,0,Policy Holder_Liability,0.055919096,12,0,0,correct
Jun,3,Tuesday,Pontiac,Urban,Monday,Jul,3,Male,Married,76,Third Party,Sedan - Liability,Sport,20000 to 29000,641,4,400,4,more than 30,more than 30,none,more than 7,over 65,Yes,No,External,none,no change,1 vehicle,1994,Liability,24500,0.4,9800,Low,4,4,0,1,0,0,0,0,0,1,8,0,8,0,0,Third Party_Liability,0.055512119,6,1,0,correct
Sep,5,Friday,Ford,Urban,Thursday,Oct,1,Male,Married,47,Policy Holder,Utility - All Perils,Utility,more than 69000,3306,2,400,3,more than 30,more than 30,1,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,1,0,0,0,0,1,8,1,6,0,0,Policy Holder_All Perils,0.073333333,9,4,0,correct
Oct,3,Sunday,Mazda,Urban,Monday,Oct,3,Male,Married,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1656,6,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability,34500,0.4,13800,Low,4,4,0,1,2,0,0,0,0,1,7,0,4,0,0,Policy Holder_Liability,0.052251487,10,6,0,correct
May,2,Friday,Chevrolet,Rural,Wednesday,May,3,Male,Married,44,Third Party,Sedan - Collision,Sedan,more than 69000,4313,4,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,Collision,80000,0.7,56000,High,4,4,0,1,2,0,0,0,0,1,7,1,5,0,0,Third Party_Collision,0.055919096,5,4,0,correct
Jan,4,Friday,Ford,Urban,Monday,Feb,1,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,more than 69000,103,14,500,2,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,2,0,0,0,0,1,6,1,5,0,0,Policy Holder_All Perils,0.073333333,1,4,0,correct
Nov,2,Friday,Accura,Urban,Monday,Nov,3,Male,Single,38,Policy Holder,Sedan - Collision,Sedan,more than 69000,4139,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,Yes,External,none,no change,1 vehicle,1994,Collision,80000,0.7,56000,High,4,4,0,1,2,0,0,0,0,1,7,1,5,0,0,Policy Holder_Collision,0.125,11,4,0,correct
Jul,2,Sunday,Chevrolet,Urban,Monday,Jul,2,Female,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,5482,4,400,2,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability,24500,0.4,9800,Low,4,4,0,1,0,0,1,0,0,1,6,0,4,0,0,Policy Holder_Liability,0.055919096,7,6,0,correct
Apr,2,Thursday,Honda,Rural,Monday,Apr,3,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12631,2,400,3,more than 30,more than 30,1,more than 7,51 to 65,Yes,Yes,Internal,more than 5,no change,1 vehicle,1996,Collision,34500,0.7,24150,Medium,4,4,0,1,1,0,0,0,0,2,8,0,7,0,0,Policy Holder_Collision,0.063905748,4,3,0,correct
Apr,3,Saturday,Chevrolet,Rural,Monday,Apr,3,Male,Married,34,Third Party,Sedan - All Perils,Sedan,30000 to 39000,4888,5,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1994,All Perils,34500,1.0,34500,High,4,4,0,1,2,0,0,0,0,1,6,0,4,0,0,Third Party_All Perils,0.055919096,4,5,0,correct
Dec,4,Thursday,Pontiac,Rural,Friday,Dec,4,Male,Married,43,Third Party,Sedan - Liability,Sport,more than 69000,1575,7,400,4,more than 30,more than 30,1,7 years,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability,80000,0.4,32000,High,4,4,0,1,1,0,0,0,0,1,7,1,5,0,0,Third Party_Liability,0.055512119,12,3,0,correct
Mar,1,Wednesday,Accura,Urban,Thursday,Mar,1,Male,Married,28,Third Party,Sedan - Liability,Sport,more than 69000,3958,11,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Liability,80000,0.4,32000,High,4,4,0,1,2,0,0,0,0,1,6,1,4,0,0,Third Party_Liability,0.125,3,2,0,correct
Sep,1,Wednesday,Mazda,Urban,Thursday,Sep,2,Female,Single,44,Third Party,Sedan - Liability,Sport,30000 to 39000,3044,8,400,2,more than 30,more than 30,none,more than 7,36 to 40,Yes,No,Internal,3 to 5,no change,1 vehicle,1994,Liability,34500,0.4,13800,Low,4,4,0,1,0,0,0,0,0,1,8,0,5,0,0,Third Party_Liability,0.052251487,9,2,0,correct
Jun,2,Friday,Honda,Urban,Friday,Jun,2,Male,Married,57,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,3494,16,400,4,more than 30,more than 30,none,more than 7,51 to 65,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,24500,1.0,24500,Medium,4,4,0,1,0,0,0,0,0,1,8,0,7,0,0,Policy Holder_All Perils,0.063905748,6,4,0,correct
Aug,3,Wednesday,Accura,Urban,Thursday,Sep,3,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,14084,5,400,4,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,34500,0.7,24150,Medium,4,4,0,1,3,1,0,0,1,0,8,0,5,0,2,Policy Holder_Collision,0.125,8,2,1,fraud
Jun,3,Thursday,Mazda,Urban,Tuesday,Jun,3,Male,Married,31,Third Party,Sport - Collision,Sport,more than 69000,959,1,400,1,more than 30,more than 30,none,6 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1994,Collision,80000,0.7,56000,High,4,4,0,1,0,0,0,0,0,1,6,1,4,0,0,Third Party_Collision,0.052251487,6,3,0,correct
Nov,3,Friday,BMW,Urban,Monday,Dec,1,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1313,4,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,3 to 4,1994,All Perils,24500,1.0,24500,Medium,4,4,0,1,0,0,0,0,1,0,7,0,6,0,1,Policy Holder_All Perils,0.066666667,11,4,0,escalate
Jun,5,Wednesday,Mazda,Rural,Monday,Jul,1,Male,Single,33,Third Party,Sport - Collision,Sport,more than 69000,4558,4,400,1,more than 30,more than 30,1,5 years,31 to 35,Yes,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision,80000,0.7,56000,High,4,4,0,1,1,0,1,0,0,1,5,1,4,0,0,Third Party_Collision,0.052251487,6,2,0,correct
Nov,2,Monday,Honda,Urban,Wednesday,Nov,2,Male,Single,16,Third Party,Sport - Collision,Sport,more than 69000,1432,15,400,2,more than 30,more than 30,1,2 years,18 to 20,No,Yes,External,none,no change,1 vehicle,1994,Collision,80000,0.7,56000,High,4,4,0,1,1,0,0,0,0,1,2,1,1,1,0,Third Party_Collision,0.063905748,11,0,0,correct
Dec,2,Monday,Mazda,Urban,Tuesday,Dec,2,Male,Married,37,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1128,6,400,1,more than 30,more than 30,1,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,All Perils,24500,1.0,24500,Medium,4,4,0,1,1,0,0,0,0,1,7,0,5,0,0,Third Party_All Perils,0.052251487,12,0,0,correct
Mar,4,Wednesday,Pontiac,Rural,Monday,Mar,4,Male,Married,76,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1987,3,400,4,more than 30,more than 30,none,more than 7,over 65,No,Yes,External,1 to 2,no change,1 vehicle,1994,All Perils,24500,1.0,24500,Medium,4,4,0,1,0,0,0,0,0,1,8,0,8,0,0,Policy Holder_All Perils,0.055512119,3,2,0,correct
